Form Type,Container Name,Attachment Name,dynamic_container_template_id,Default
A_W_8ECI,Income - Borrower 1040 Tax Returns w/ All Schedules,W-8ECI,,false
CREDIT_SCORE_DISCLOSURE,Credit Report,Credit Score Disclosure,,true
ELECTRONIC_POSTMARK,Income - Borrower 1040 Tax Returns w/ All Schedules,Electronic Postmark,,false
RIGHT_TO_CHOOSE_TITLE_INSURANCE,UNKNOWN,Right To Choose Title Insurance,,true
A_8621_A,Income - Borrower 1040 Tax Returns w/ All Schedules,8621-A,,false
REAL_ESTATE_APPRAISER_LICENSE,UNKNOWN,Real Estate Appraiser License,,true
SSA-1099,Income - Borrower W-2 Most Recent Yr,SSA-1099,,false
A_14199,Income - Borrower 1040 Tax Returns w/ All Schedules,14199,,false
JUMIO_PII_BANK_STATEMENT,PII Bank Statement,PII Bank Statement,,true
SUPPLEMENTAL_CONSUMER_INFORMATION_FORM_1103_2022,Income - Borrower 1040 Tax Returns w/ All Schedules,1103 (2022) - Supplemental Consumer Information Form,,false
LOAN_PAYOFF_DISCLOSURE_STATEMENT,UNKNOWN,Loan Payoff Disclosure Statement,,true
A_8453,Income - Borrower 1040 Tax Returns w/ All Schedules,8453,,false
ACKNOWLEDGMENT_OF_RECEIPT_OF_INFORMATIONAL_BOOKLETS,Acknowledgment Of Receipt Of Informational Booklets,Acknowledgment Of Receipt Of Informational Booklets,,true
A_15057,Income - Borrower 1040 Tax Returns w/ All Schedules,15057,,false
A_945_A,Income - Borrower 1040 Tax Returns w/ All Schedules,945-A,,false
TITLE_COMMITMENT,Subject Property - Title Report,Title Commitment,,false
A_9779,Income - Borrower 1040 Tax Returns w/ All Schedules,9779,,false
VA_26_8937_VERIFICATION_OF_VA_BENEFITS,VA Documents,VA 26-8937 Verification Of VA Benefits,,true
ABILITY_TO_REPAY_WORKSHEET,UNKNOWN,Ability To Repay Worksheet,,true
PURCHASE_CONTRACT_EXTENDED,UNKNOWN,Purchase Contract,,true
A_6069,Income - Borrower 1040 Tax Returns w/ All Schedules,6069,,false
A_W_13,Income - Borrower 1040 Tax Returns w/ All Schedules,W-13,,false
A_CT_1_X,Income - Borrower 1040 Tax Returns w/ All Schedules,CT-1X,,false
A_W_14,Income - Borrower 1040 Tax Returns w/ All Schedules,W-14,,false
PROPERTY_COVERAGE_CONFIRMATION,UNKNOWN,Property Coverage Confirmation,,true
A_14335,Income - Borrower 1040 Tax Returns w/ All Schedules,14335,,false
A_1065_2020,Income - Borrower Business Tax Returns,{$FIELDS.a_1065_2020-Part1-PartnershipDetails:nameOfPartnership}_1065_2020,,false
RD_410_9_STATEMENT_REQUIRED_BY_THE_PRIVACY_ACT,UNKNOWN,RD 410-9 - Statement Required By The Privacy Act,,true
A_W_12,Income - Borrower 1040 Tax Returns w/ All Schedules,W-12,,false
A_W_10,Income - Borrower 1040 Tax Returns w/ All Schedules,W-10,,false
A_12153,Income - Borrower 1040 Tax Returns w/ All Schedules,12153,,false
NON_CREDIT_TERM_INSURANCE_DISCLOSURE,UNKNOWN,Noncredit Term Insurance Disclosure,,true
ACCOUNT_SUMMARY,Account Summary,Account Summary,,true
A_1065_2017,1065 (2017),1065 (Partnership Business Tax Returns) (2017),,true
A_1065_2016,1065 (2016),1065 (Partnership Business Tax Returns) (2016),,true
A_1065_2015,1065 (2015),1065 (Partnership Business Tax Returns) (2015),,true
MARINE_CORPS_BASIC_ORDER,Credit - Supporting Credit Docs,Marine Corps Basic Order,,false
A_4506_C_REVISED_2022,UNKNOWN,4506-C - IVES Request for Transcript of Tax Return (Rev. 10-2022),,true
BUYDOWN_AGREEMENT,UNKNOWN,Buydown Agreement,,true
A_1065_2019,Income - Borrower Business Tax Returns,{$FIELDS.a_1065_2019-Part1-PartnershipDetails:nameOfPartnership}_1065_2019,,false
NOTICE_CONCERNING_EXTENSIONS_OF_CREDIT,UNKNOWN,Notice Concerning Extensions Of Credit,,true
A_1065_2018,Income - Borrower Business Tax Returns,{$FIELDS.a_1065_2018-Part1-PartnershipDetails:nameOfPartnership}_1065_2018,,false
A_8233,Income - Borrower 1040 Tax Returns w/ All Schedules,8233,,false
HOME_EQUITY_ADDENDUM,Home Equity Addendum,Home Equity Addendum,,true
BASIC_INDIVIDUAL_RECORD,Basic Individual Record,Basic Individual Record,,true
NON_BROKERED_ESCROW_ACCOUNT_DISCLOSURE,UNKNOWN,Non-Brokered Escrow Account Disclosure,,true
USA_PATRIOT_ACT_INFORMATION_FORM,UNKNOWN,USA Patriot Act Information Form,,true
ESCROW_ACCOUNT_DISCLOSURE_AGREEMENT,UNKNOWN,Escrow Account Disclosure Agreement,,true
FORM_71_OR_1004MC_MARKET_CONDITIONS_ADDENDUM_TO_THE_APPRAISAL_REPORT,UNKNOWN,Form 71 Or 1004MC - Market Conditions Addendum To The Appraisal Report,,true
A_W_2G,Income - Borrower 1040 Tax Returns w/ All Schedules,W-2G,,false
VA_26_1880_REQUEST_FOR_A_CERTIFICATE_OF_ELIGIBILITY,VA Documents,VA 26-1880 Request For A Certificate Of Eligibility,,true
CONDO_PROJECT_MANAGER_CERTIFICATE,Subject Property - Condo Questionnaire/Budget/Insurance,Condo Project Manager Certificate,,false
NOTICE_OF_RIGHT_TO_CANCEL,UNKNOWN,Notice Of Right To Cancel,,true
A_W_2C,Income - Borrower 1040 Tax Returns w/ All Schedules,W-2C,,false
RELEASE_OF_EMPLOYEES_INFORMATION_FORM,UNKNOWN,Release Of Employee's Information Form,,true
OFFICIAL_FORM_108_STATEMENT_OF_INTENTION_FOR_INDIVIDUALS_FILING_UNDER_CHAPTER_7,Official Form 108 - Statement Of Intention For Individuals Filing Under Chapter 7,Official Form 108 - Statement Of Intention For Individuals Filing Under Chapter 7,,true
A_1040_X,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.1040_x-Part1-General:yourFirstNameAndMiddleInitial}_{$FIELDS.1040_x-Part1-General:yourLastName}_1040_X,,false
A_1040_V,Income - Borrower 1040 Tax Returns w/ All Schedules,1040-V,,false
A_6088,Income - Borrower 1040 Tax Returns w/ All Schedules,6088,,false
INCOME_TAX_ESTIMATOR,Income - Borrower 1040 Tax Returns w/ All Schedules,Income Tax Estimator,,false
A_14310,Income - Borrower 1040 Tax Returns w/ All Schedules,14310,,false
OFFICIAL_FORM_122C_1_CHAPTER_13_STATEMENT_OF_YOUR_CURRENT_MONTHLY_INCOME_AND_CALCULATION_OF_COMMITMENT_PERIOD,UNKNOWN,Official Form 122C-1 - Chapter 13 Statement Of Your Current Monthly Income And Calculation Of Commitment Period,,true
BORROWER_DEBT_CERTIFICATION,UNKNOWN,Borrower Debt Certification,,true
FINANCEIT_VOIDED_CHECK_CA,Voided Check CA,Voided Check CA,,true
MARRIAGE_CERTIFICATE,UNKNOWN,Marriage Certificate,,true
VOLUNTARY_INFORMATION_FOR_GOVERNMENT_MONITORING_PURPOSES,UNKNOWN,Voluntary Information For Government Monitoring Purposes,,true
LICENSEE_INFORMATION_OR_AFFIDAVIT,UNKNOWN,Licensee Information Or Affidavit,,true
ANNUITY_AWARD_LETTER,Income - Borrower Paystubs,Annuity Award Letter,,false
A_3800,Income - Borrower 1040 Tax Returns w/ All Schedules,3800,,false
HUD_NPMA_33_WOOD_DESTROYING_INSECT_INSPECTION_REPORT,Construction - Termite - NCPA,NPMA-33 Wood Destroying Insect Inspection Report,,false
SCHEDULE_K_1_PARTNERS_SCHEDULE_K_1_ACTIVITY_WORKSHEET,Income - Borrower Business Tax Returns,Schedule K-1 - Partner's Schedule K-1 Activity Worksheet,,false
INSTRUCTIONS_TO_ESCROW_TITLE_CLOSING_AGENT,UNKNOWN,Instructions To Escrow Title Closing Agent,,true
ATTORNEY_REPRESENTATION_NOTICE,Attorney Representation Notice,Attorney Representation Notice,,true
A_1120_F_SCHEDULE_M_3,Income - Borrower Business Tax Returns,1120-F Schedule M-3,,false
A_706_GS_D,Income - Borrower 1040 Tax Returns w/ All Schedules,706-GS(D),,false
A_1040_C,Income - Borrower 1040 Tax Returns w/ All Schedules,1040-C,,false
WAGE_GARNISHMENT_ORDER,Credit - Divorce Decree/Child Support - Liabilty/Income,Wage Garnishment Order,,false
DUPLICATE_REJECTED,Duplicate Attachments,{$ORIGINAL.title},,true
ELECTRONIC_DISCLOSURE_AND_CONSENT_AGREEMENT,UNKNOWN,Electronic Disclosure And Consent Agreement,,true
FORM_1040_TAX_RETURN_RECONCILIATION_WORKSHEET,1040 Tax Return Reconciliation Worksheet,1040 (Personal Tax Returns) Tax Return Reconciliation Worksheet,,true
H1B,Credit - SS Card/Drivers License,{$FIELDS.h1b-General:firstName}_{$FIELDS.h1b-General:middleName}_{$FIELDS.h1b-General:lastName}_{$FIELDS.h1b-General:suffix}_H1B_{$FIELDS.h1b-General:expirationDate|YYYY_MM_DD},,false
A_1120_SCHEDULE_M_3,Income - Borrower Business Tax Returns,1120 Schedule M-3,,false
A_1040_SCHEDULE_D_2022,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_D_2022_{$FIELDS.a_1040_schedule_d_2022-Part1-General:name(s)ShownOnReturn},,false
RECOVERY_REBATE_CREDIT_WORKSHEET,Tax Returns w/ Schedules,Recovery Rebate Credit Worksheet,,true
A_1040_SCHEDULE_D_2021,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_D_2021_{$FIELDS.a_1040_schedule_d_2021-Part1-General:name(s)ShownOnReturn},,false
A_1040_SCHEDULE_D_2020,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_d_2020-Part1-General:name(s)ShownOnReturn}_1040_SCHEDULE_D_2020,,false
MERCHANT_PROCESSING_APPLICATION,Merchant Processing Application,Merchant Processing Application,,true
A_1065_SCHEDULE_B_2024,Income - Borrower Business Tax Returns,1065 Schedule B (2024),,false
A_1065_SCHEDULE_B_2025,Income - Borrower Business Tax Returns,1065 Schedule B (2025),,false
A_1040_SCHEDULE_D_2025,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_D_2025_{$FIELDS.a_1040_schedule_d_2025-Part01-General:namesShownOnReturn},,false
A_W_4V,Income - Borrower 1040 Tax Returns w/ All Schedules,W-4V,,false
A_1065_SCHEDULE_B_2022,Income - Borrower Business Tax Returns,1065 Schedule B (2022),,false
A_1040_SCHEDULE_D_2024,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_D_2024_{$FIELDS.a_1040_schedule_d_2024-Part01-General:name(s)ShownOnReturn},,false
A_8288,Income - Borrower 1040 Tax Returns w/ All Schedules,8288,,false
A_1065_SCHEDULE_B_2023,Income - Borrower Business Tax Returns,1065 Schedule B (2023),,false
A_1040_SCHEDULE_D_2023,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_D_2023_{$FIELDS.a_1040_schedule_d_2023-Part1-General:name(s)ShownOnReturn},,false
A_5305_SIMPLE,Income - Borrower 1040 Tax Returns w/ All Schedules,5305-SIMPLE,,false
A_W_4R,Income - Borrower 1040 Tax Returns w/ All Schedules,W-4R,,false
A_W_4S,Income - Borrower 1040 Tax Returns w/ All Schedules,W-4S,,false
A_W_4P,Income - Borrower 1040 Tax Returns w/ All Schedules,W-4P,,false
A_8283,Income - Borrower 1040 Tax Returns w/ All Schedules,8283,,false
A_8282,Income - Borrower 1040 Tax Returns w/ All Schedules,8282,,false
IMPOUND_ACCOUNT_STATEMENT,UNKNOWN,Impound Account Statement,,true
A_8281,Income - Borrower 1040 Tax Returns w/ All Schedules,8281,,false
ABILITY_TO_REPAY_CERTIFICATION,Ability To Repay Certification,Ability To Repay Certification,,true
A_8796_A,Income - Borrower 1040 Tax Returns w/ All Schedules,8796-A,,false
A_1040_SCHEDULE_D_2019,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_d_2019-Part1-General:name(s)ShownOnReturn}_1040_SCHEDULE_D_2019,,false
A_706_GS_T,Income - Borrower 1040 Tax Returns w/ All Schedules,706-GS(T),,false
A_1040_SCHEDULE_D_2018,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_d_2018-Part1-General:name(s)ShownOnReturn}_1040_SCHEDULE_D_2018,,false
A_1040_SS,Income - Borrower 1040 Tax Returns w/ All Schedules,1040-SS,,false
A_1065_SCHEDULE_B_2018,Income - Borrower Business Tax Returns,1065 Schedule B (2018),,false
HOA_INSURANCE,Subject Property - Homeowner's Insurance Policy,Homeowner Association Insurance,,false
DISCLOSURE_OF_FEES_EARNED_BY_MORTGAGE_COMPANY,UNKNOWN,Disclosure of Fees Earned by Mortgage Company,,true
A_8275,Income - Borrower 1040 Tax Returns w/ All Schedules,8275,,false
A_8274,Income - Borrower 1040 Tax Returns w/ All Schedules,8274,,false
DUAL_STATUS_DISCLOSURE,UNKNOWN,Dual Status Disclosure,,true
A_1065_SCHEDULE_B_2019,Income - Borrower Business Tax Returns,1065 Schedule B (2019),,false
SUPPLEMENT_CLOSING_STATEMENT,UNKNOWN,Supplement Closing Statement,,true
A_15230,Income - Borrower 1040 Tax Returns w/ All Schedules,15230,,false
BREX_CASH_STATEMENT,Brex Cash Statement,Brex Cash Statement,,true
A_1065_SCHEDULE_B_2020,Income - Borrower Business Tax Returns,1065 Schedule B (2020),,false
A_1065_SCHEDULE_B_2021,Income - Borrower Business Tax Returns,1065 Schedule B (2021),,false
HUD_9746_A_DRAW_REQUEST,UNKNOWN,HUD-9746-A Draw Request,,true
OFFICIAL_FORM_106J_SCHEDULE_J_YOUR_EXPENSES,Official Form 106J - Schedule J: Your Expenses,Official Form 106J - Schedule J: Your Expenses,,true
PROPERTY_INSURANCE_ESCROW_ACCOUNT_DISCLOSURE,UNKNOWN,Property Insurance Escrow Account Disclosure,,true
A_1065_SCHEDULE_L_M_1_M_2_2025,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2025,,false
DUAL_MORTGAGE_BROKER_FEES_DISCLOSURE,UNKNOWN,Dual Mortgage Broker - Fees Disclosure,,true
A_1065_SCHEDULE_L_M_1_M_2_2020,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2020,,false
FEDERAL_SUPPORTING_STATEMENT_TESTING,UNKNOWN,Federal Supporting Statement Testing,,true
A_8879_EX,Income - Borrower 1040 Tax Returns w/ All Schedules,8879-EX,,false
A_1065_SCHEDULE_L_M_1_M_2_2024,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2024,,false
A_1065_SCHEDULE_L_M_1_M_2_2023,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2023,,false
A_1065_SCHEDULE_L_M_1_M_2_2022,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2022,,false
A_1065_SCHEDULE_L_M_1_M_2_2021,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2021,,false
TAX_BILL_AUTHORIZATION,UNKNOWN,Tax Bill Authorization,,true
A_W_3C,Income - Borrower 1040 Tax Returns w/ All Schedules,W-3C,,false
RED_FLAG_WARNING_DISCLOSURE_NOTICE,UNKNOWN,Red Flag Warning Disclosure Notice,,true
TRUTH_IN_LENDING_ACT_(TILA)_DISCLOSURE,UNKNOWN,Truth In Lending Act (TILA) Disclosure,,true
PLEDGED_TIME_DEPOSIT_ACCOUNT_DISCLOSURE,UNKNOWN,Pledged Time Deposit Account Disclosure,,true
VA_LENDERS_NOTICE_OF_VALUE,Appraisal,VA Lender's Notice Of Value,,false
CERTIFICATION_AND_ACKNOWLEDGMENT_OF_MORTGAGE_LOAN_APPLICATION,UNKNOWN,Certification And Acknowledgement Of Mortgage Loan Application,,true
SECOND_MORTGAGE_APPLICATION_CHECKLIST,UNKNOWN,Second Mortgage Application Checklist,,true
A_1065_SCHEDULE_L_M_1_M_2_2019,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2019,,false
A_1065_SCHEDULE_L_M_1_M_2_2018,Income - Borrower Business Tax Returns,1065_SCHEDULE_L_M1_M2_2018,,false
ALTA_SETTLEMENT_STATEMENT_TESTING,UNKNOWN,ALTA Settlement Statement Testing,,true
RIGHT_TO_RECEIVE_COPY_OF_APPRAISAL_AND_VALUATIONS_DISCLOSURE,UNKNOWN,Right to Receive Copy of Appraisal and Valuations Disclosure,,true
NOTICE_TO_THE_HOME_LOAN_APPLICANT,UNKNOWN,Notice To The Home Loan Applicant,,true
A_14364,Income - Borrower 1040 Tax Returns w/ All Schedules,14364,,false
MORTGAGE_INSURANCE_CERTIFICATE,UNKNOWN,Mortgage Insurance Certificate,,false
A_14360,Income - Borrower 1040 Tax Returns w/ All Schedules,14360,,false
MORTGAGE_ELECTRONIC_REGISTRATION_SYSTEMS_MERS_RIDER,UNKNOWN,Mortgage Electronic Registration Systems (MERS) Rider,,true
A_1040_SCHEDULE_B_2023_TESTING,1040 Schedule B 2023,1040 Schedule B (Interest and Ordinary Dividends) 2023,,true
HOA_CCRS,Subject Property - Condo Questionnaire/Budget/Insurance,Homeowner Association Covenants Conditions Restrictions Summary,,false
ESCROW_INSTRUCTIONS,Closing - Instruction to Settlement Agent,Escrow Instructions,,false
A_1040_NR_SCHEDULE_OI,Income - Borrower 1040 Tax Returns w/ All Schedules,1040-NR Schedule OI,,false
A_4720,Income - Borrower 1040 Tax Returns w/ All Schedules,4720,,false
MORTGAGE_BANKER_DISCLOSURE,UNKNOWN,Mortgage Banker Disclosure,,true
A_1040_SCHEDULE_C_EZ_2018,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_c_ez_2018-Part1-General:nameOfProprietor}_1040_SCHEDULE_C-EZ_2018,,false
A_1120_2020,Income - Borrower Business Tax Returns,{$FIELDS.a_1120_2020-Part1-HeaderInformation:name}_1120_2020,,false
FAIR_CREDIT_REPORTING_ACT,Fair Credit Reporting Act,Fair Credit Reporting Act,,true
A_8879_TE,Income - Borrower 1040 Tax Returns w/ All Schedules,8879-TE,,false
A_1120_2017,1120 (2017),1120 (Corporation Business Tax Returns) (2017),,true
A_1120_2016,1120 (2016),1120 (Corporation Business Tax Returns) (2016),,true
A_1120_2015,1120 (2015),1120 (Corporation Business Tax Returns) (2015),,true
REASONABLE_MEANS_DISCLOSURE,UNKNOWN,Reasonable Means Disclosure,,true
ELECTRONIC_CONSENT_AGREEMENT,UNKNOWN,Electronic Consent Agreement,,true
A_1120_2019,Income - Borrower Business Tax Returns,{$FIELDS.a_1120_2019-Part1-HeaderInformation:name}_1120_2019,,false
A_1120_2018,Income - Borrower Business Tax Returns,{$FIELDS.a_1120_2018-Part1-HeaderInformation:name}_1120_2018,,false
A_1040_SCHEDULE_LEP_2020,1040 Schedule LEP (2020),1040 Schedule LEP (Request for Change in Language Preference) (2020),,true
SUBSECTION_10_MORTGAGE_LOAN_DISCLOSURE,UNKNOWN,Subsection 10 Mortgage Loan Disclosure,,true
A_W_9S,Income - Borrower 1040 Tax Returns w/ All Schedules,W-9S,,false
MORTGAGE_GUARANTY_INSURANCE_CANCELLATION_DISCLOSURE,UNKNOWN,Mortgage Guaranty Insurance Cancellation Disclosure,,true
LENDER_UNDERWRITER_REVIEW_VERIFICATION_URV,UNKNOWN,Lender Underwriter Review Verification (URV),,true
CERTIFICATION_AND_ACKNOWLEDGEMENT_OF_MORTGAGE_LOAN_APPLICATION,UNKNOWN,Certification And Acknowledgement Of Mortgage Loan Application,,true
AGREEMENT_CONCERNING_NONREFUNDABILITY_OF_ADVANCE_FEE,UNKNOWN,Agreement Concerning Nonrefundability Of Advance Fee,,true
JUMIO_PII_ONLY,PII Only,PII Only,,true
A_8849_SCHEDULE_1,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 1,,false
PROCESSORS_CERTIFICATION,Processors Certification,Processors Certification,,true
A_8849_SCHEDULE_3,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 3,,false
WATER_SUPPLY_DISCLOSURE,UNKNOWN,Water Supply Disclosure,,true
A_8849_SCHEDULE_2,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 2,,false
A_4506_T,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_4506_t-Part1-General:1a-NameShownOnTaxReturn}_{$FIELDS.a_4506_t-Part1-General:2a-IfAJointReturnEnterSpouse'SNameShownOnTaxReturn}_IRS_4506T,,false
ITEMS_NEEDED_LETTER,UNKNOWN,Items Needed Letter,,true
RESPA_AFFILIATED_BUSINESS_DISCLOSURES,UNKNOWN,RESPA Affiliated Business Disclosures,,true
A_8849_SCHEDULE_8,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 8,,false
ADVANCED_FEE_APPLICATION_DISCLOSURE,UNKNOWN,Advanced Fee Or Application Disclosure,,true
A_8849_SCHEDULE_5,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 5,,false
A_8849_SCHEDULE_6,Income - Borrower 1040 Tax Returns w/ All Schedules,8849 Schedule 6,,false
A_4506_C,Income - Borrower 1040 Tax Returns w/ All Schedules,A_4506_C,,false
HIGH_COST_LOAN_PAYMENT_DISCLOSURE,UNKNOWN,High Cost Loan Payment Disclosure,,true
A_4506_B,Income - Borrower 1040 Tax Returns w/ All Schedules,4506-B,,false
FAX_COVER_SHEET,UNKNOWN,Fax Cover Sheet,,true
FHA_APPLICATION_OF_UNUSED_ESCROW_FUNDS_AUTHORIZATION,UNKNOWN,FHA Application Of Unused Escrow Funds Authorization,,true
A_4506_F,Income - Borrower 1040 Tax Returns w/ All Schedules,4506-F,,false
FHA_AMENDATORY_CLAUSE_AND_REAL_ESTATE_CERTIFICATION,Subject Property - Contract,FHA Amendatory Clause And Real Estate Certification,,false
A_2555,Income - Borrower 1040 Tax Returns w/ All Schedules,2555,,false
TAX_OTHER,Tax Other,Tax Other,,true
A_W_7A,Income - Borrower 1040 Tax Returns w/ All Schedules,W-7A,,false
A_4506_A,Income - Borrower 1040 Tax Returns w/ All Schedules,4506-A,,false
A_3881,Income - Borrower 1040 Tax Returns w/ All Schedules,3881,,false
A_2553,Income - Borrower 1040 Tax Returns w/ All Schedules,2553,,false
COMMERCIALLY_REASONABLE_MEANS_OR_MECHANISM_WORKSHEET,UNKNOWN,Commercially Reasonable Means Or Mechanism Worksheet,,true
A_1120_2025,Income - Borrower Business Tax Returns,1120_2025_{$FIELDS.a_1120_2025-Part01-General:name},,false
LOAN_CLOSING_ADVISOR_FEEDBACK_CERTIFICATE,UNKNOWN,Loan Closing Advisor Feedback Certificate,,true
A_1120_2024,Income - Borrower Business Tax Returns,1120_2024_{$FIELDS.a_1120_2024-Part01-General:name},,false
A_1120_2023,Income - Borrower Business Tax Returns,1120_2023_{$FIELDS.a_1120_2023-Part1-General:name},,false
A_1120_2022,Income - Borrower Business Tax Returns,1120_2022_{$FIELDS.a_1120_2022-Part1-General:name},,false
VA_26_1820_REPORT_AND_CERTIFICATION_OF_LOAN_DISBURSEMENT,UNKNOWN,VA 26-1820 Report And Certification Of Loan Disbursement,,true
COMPLIANCE_REPORT,UNKNOWN,Compliance Report,,true
A_1120_2021,Income - Borrower Business Tax Returns,{$FIELDS.a_1120_2021-Part1-HeaderInformation:name}_1120_2021,,false
A_W_2VI,Income - Borrower 1040 Tax Returns w/ All Schedules,W-2VI,,false
DECLARATION_OF_COVENANTS,UNKNOWN,Declaration Of Covenants,,true
NOTICE_TO_BORROWER_PROSPECTIVE_BORROWER,UNKNOWN,Notice To Borrower/Prospective Borrower,,true
NOTICE_TO_COSIGNER,UNKNOWN,Notice To Cosigner,,true
A_1040_SCHEDULE_C_2019,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_c_2019-General:nameOfProprietor}_1040_SCHEDULE_C_2019,,false
A_1040_SCHEDULE_C_2017,1040 Schedule C (2017),1040 Schedule C (Profit or Loss From Sole Proprietorship Business) (2017),,true
OUTGOING_WIRE_TRANSFER_REQUEST,UNKNOWN,Outgoing Wire Transfer Request,,true
NOTICE_OF_ASSESSMENT_LIEN,UNKNOWN,Notice Of Assessment Lien,,true
A_1040_SCHEDULE_C_2018,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_c_2018-General:nameOfProprietor}_1040_SCHEDULE_C_2018,,false
A_1040_SCHEDULE_C_2015,1040 Schedule C (2015),1040 Schedule C (Profit or Loss From Sole Proprietorship Business) (2015),,true
A_1040_SCHEDULE_C_2016,1040 Schedule C (2016),1040 Schedule C (Profit or Loss From Sole Proprietorship Business) (2016),,true
HOA_MEETING_MINUTES,Subject Property - Condo Questionnaire/Budget/Insurance,Homeowner Association Meeting Minutes,,false
A_8038_TC,Income - Borrower 1040 Tax Returns w/ All Schedules,8038-TC,,false
A_14773,Income - Borrower 1040 Tax Returns w/ All Schedules,14773,,false
HUD_92070_SERVICEMEMBERS_CIVIL_RELIEF_ACT_(SCRA)_NOTICE_DISCLOSURE,HUD-92070 - Servicemembers Civil Relief Act Notice Disclosure,HUD-92070 - Servicemembers Civil Relief Act Notice Disclosure,,true
CERTIFICATE_OF_BORROWER_AND_GUARANTOR,UNKNOWN,Certificate Of Borrower And Guarantor,,true
NOTICE_OF_RIGHT_TO_SELECT_ATTORNEY,UNKNOWN,Notice Of Right To Select Attorney,,true
A_1040_SCHEDULE_C_2024,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_C_2024_{$FIELDS.a_1040_schedule_c_2024-Part01-General:nameOfProprietor},,false
A_1040_SCHEDULE_C_2025,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_C_2025_{$FIELDS.a_1040_schedule_c_2025-Part01-General:nameOfProprietor},,false
PROPERTY_TAX_INFO_SHEET,UNKNOWN,Property Tax Info Sheet,,false
A_1120_S_SCHEDULE_D,Income - Borrower Business Tax Returns,1120-S Schedule D,,false
A_1040_SCHEDULE_C_2022,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_C_2022_{$FIELDS.a_1040_schedule_c_2022-General:nameOfProprietor},,false
A_1040_SCHEDULE_C_2023,Income - Borrower 1040 Tax Returns w/ All Schedules,1040_SCHEDULE_C_2023_{$FIELDS.a_1040_schedule_c_2023-Part1-General:nameOfProprietor},,false
A_1040_SCHEDULE_C_2020,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_c_2020-General:nameOfProprietor}_1040_SCHEDULE_C_2020,,false
A_8936_SCHEDULE_A,UNKNOWN,8936 Schedule A - Clean Vehicle Credit Amount,,true
A_1040_SCHEDULE_C_2021,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_c_2021-General:nameOfProprietor}_1040_SCHEDULE_C_2021,,false
A_1042_SCHEDULE_Q,Income - Borrower 1040 Tax Returns w/ All Schedules,1042 Schedule Q,,false
A_14781,Income - Borrower 1040 Tax Returns w/ All Schedules,14781,,false
A_1040_SCHEDULE_5_2018,Income - Borrower 1040 Tax Returns w/ All Schedules,{$FIELDS.a_1040_schedule_5_2018-Part1-General:name(s)ShownOnForm1040}_1040_SCHEDULE_5_2018,,false
SURVIVORSHIP_DEED,UNKNOWN,Survivorship Deed,,true
USDA_3555_11_LENDER_RECORD_CHANGE,UNKNOWN,RD 3555-11 Lender Record Change,,true
BORROWER_CONTACT_CONSENT_FORM,UNKNOWN,Borrower Contact Consent Form,,true
PRE_AUTHORIZED_DEBIT_CA,Pre Authorized Debit CA,Pre Authorized Debit CA,,true
LOAN_APPROVAL_FORM,UNKNOWN,Loan Approval Form,,true
A_2120,Income - Borrower 1040 Tax Returns w/ All Schedules,2120,,false
PROPERTY_DETAIL_REPORT,Subject Property - Contract,Property Detail Report,,false
